2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@59d97744 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58956f72 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69b17399 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76954e0f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b189ce4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7859274d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@795c9b36 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@75df8414 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e962511 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:33:12 |WARN  |http-nio-8888-exec-6 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d44cb58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-235 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8eafc57 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-224 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@405265b2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-244 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@680477f0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-233 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6aca9152 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-234 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@59731e8c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-242 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5348ae3e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-256 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@16dff0e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-257 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@14851ba8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 11:52:36 |WARN  |pool-2-thread-240 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@523790f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7001fc77 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7afcba2f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@392bced1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@91738b9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@51953c43 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f141d54 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@542ee26b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@523ca4b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-03-09 12:03:13 |WARN  |http-nio-8888-exec-10 |PoolBase.java:184 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63fcad1a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
